those are checkers , DET VERB NOUN
you gave it to him , PRON VERB PRON ADP PRON
you might have_to screw this one a little more , PRON VERB NOUN VERB DET NUM DET ADJ ADJ
play with cowboy cigarette , VERB ADP NOUN NOUN
that can not be eaten , PRON VERB ADV VERB VERB
you have_to be careful or it wo not work properly , PRON ADV VERB ADJ CONJ PRON VERB ADV VERB ADV
you dropped some under the table , PRON VERB DET ADP DET NOUN
for a ball , ADP DET NOUN
adam fell down , NOUN VERB PRT
do not be so rough , VERB ADV VERB ADV ADJ
adam let me see , NOUN VERB PRON VERB
it is getting big , PRON VERB VERB ADJ
that is not a ball , PRON VERB ADV DET NOUN
i think that is enough , PRON VERB PRON VERB ADV
adam take the pencil out_of your mouth , NOUN VERB DET NOUN ADP DET NOUN
he throws it up in the air , PRON VERB PRON PRT ADP DET NOUN
you hit your shoulder , PRON VERB DET NOUN
that is good , PRON VERB ADJ
on your knees , ADP DET NOUN
i will hold it while you screw , PRON VERB VERB PRON ADP PRON VERB
here it is , ADV PRON VERB
the small letter would fit in your purse , DET ADJ NOUN VERB VERB ADP DET NOUN
take the hat , VERB DET NOUN
i help to move rocks , PRON VERB PRT VERB NOUN
he threw it up so high it did not come down , PRON VERB PRON PRT ADV ADJ PRON VERB ADV VERB PRT
i think it is either a moustache or a smokestack , PRON VERB PRON VERB CONJ DET NOUN CONJ DET NOUN
we could put this in the box , PRON VERB VERB DET ADP DET NOUN
the song was daisy daisy , DET NOUN VERB ADJ NOUN
you do not have a mosquito bite back there , PRON VERB ADV VERB DET NOUN VERB ADV ADV
you write with a pencil , PRON VERB ADP DET NOUN
you are going to hurt yourself , PRON VERB VERB PRT VERB PRON
today is not thursday , NOUN VERB ADV NOUN
i see some pennies that you dropped from your pocket , PRON VERB DET NOUN ADP PRON VERB ADP DET NOUN
that is not a hammer , PRON VERB ADV DET NOUN
you like yours better , PRON VERB PRON ADV
you do not use that either , PRON VERB ADV VERB PRON CONJ
that is for you , PRON VERB ADP PRON
he is too small , PRON VERB ADV ADJ
you can look out_of the window , PRON VERB VERB ADP DET NOUN
show your mother and ask her if it is safe , VERB DET NOUN CONJ VERB PRON ADP PRON VERB ADJ
i do not think so , PRON VERB ADV VERB ADV
there you are , ADV PRON VERB
take the pencil out_of your mouth , VERB DET NOUN ADP DET NOUN
i see some pennies on the floor , PRON VERB DET NOUN ADP DET NOUN
playing the piano , VERB DET NOUN
careful of the tape recorder , ADJ ADP DET NOUN NOUN
that is the baby too , PRON VERB DET NOUN ADV
i do not think so , PRON VERB ADV VERB ADV
do not hit your head on the bicycle , VERB ADV VERB DET NOUN ADP DET NOUN
you play the piano with your fingers , PRON VERB DET NOUN ADP DET NOUN
there is not milk in here , PRT VERB ADV NOUN ADP ADV
come down or else you can not player over there anymore , VERB PRT CONJ ADV PRON VERB ADV NOUN PRT ADV ADV
you dropped them , PRON VERB PRON
she has two raisins , PRON VERB NUM NOUN
there is ice in here , PRT VERB NOUN ADP ADV
if you want it to go there , ADP PRON VERB PRON PRT VERB PRT
i do not believe that , PRON VERB ADV VERB PRON
food for growing a carrot , NOUN ADP VERB DET NOUN
that is a good idea , PRON VERB DET ADJ NOUN
i do not see your shadow , PRON VERB ADV VERB DET NOUN
in the fire , ADP DET NOUN
are you all finished with that , VERB PRON PRT VERB ADP DET
look all around , VERB PRT ADV
branding a cow , VERB DET NOUN
you have not even tried it yet , PRON VERB ADV ADV VERB PRON ADV
i am not hurt , PRON VERB ADV VERB
stop playing with mr cromer pen , VERB VERB ADP NOUN NOUN NOUN
you fell down , PRON VERB PRT
it is not really plugged into anything , PRON VERB ADV ADV VERB ADP NOUN
she can not play on the floor , PRON VERB ADV VERB ADP DET NOUN
little boy sleeping , ADJ NOUN VERB
i would like some thank_you , PRON VERB ADP DET PRON
put them on the table , VERB PRON ADP DET NOUN
you can not write , PRON VERB ADV VERB
you have_to push it , PRON ADV VERB PRON
that is not windmill , PRON VERB ADV VERB
crackers can not talk , NOUN VERB ADV VERB
it is not broken , PRON VERB ADV VERB
that is all i had , PRON VERB PRT PRON VERB
you dropped your pencil , PRON VERB DET NOUN
i have finished mine , PRON VERB VERB PRON
not cut it off , ADV VERB PRON PRT
it is very good , PRON VERB ADV ADJ
open it again , VERB PRON ADV
you eat crackers , PRON VERB NOUN
cut it off on there , VERB PRON PRT ADP PRT
you have some paper , PRON VERB DET NOUN
lives in a house , VERB ADP DET NOUN
take it out_of your mouth adam , VERB PRON ADP DET NOUN NOUN
turn it over , VERB PRON PRT
do not tear the paper adam , VERB ADV VERB DET NOUN NOUN
there is one on the table , PRT VERB NUM ADP DET NOUN
adam i have espresso , NOUN PRON VERB ADV
i will get you , PRON VERB VERB PRON
put your coffee down , VERB DET NOUN PRT
that is a little cutting edge , PRON VERB DET ADJ VERB NOUN
i am all finished , PRON VERB PRT VERB
poor perro he was under the pillow , ADJ NOUN PRON VERB ADP DET NOUN
do not know , VERB ADV VERB
i think they dropped on the floor , PRON VERB PRON VERB ADP DET NOUN
you said you ate it , PRON VERB PRON VERB PRON
do not get it on the rug adam , VERB ADV VERB PRON ADP DET NOUN NOUN
he does not see you putting any boots on , PRON VERB ADV VERB PRON VERB DET NOUN ADP
he has_to get it proper , PRON ADV VERB PRON ADJ
give it to ursula , VERB PRON ADP NOUN
hold your hand way up , VERB DET NOUN NOUN PRT
turn it over , VERB PRON PRT
you are not putting any boots on , PRON VERB ADV VERB DET NOUN ADP
you can not ride perro , PRON VERB ADV ADJ NOUN
let me see the toy , VERB PRON VERB DET NOUN
that is for you , PRON VERB ADP PRON
and say the magic words , CONJ VERB DET ADJ NOUN
it is not a blueberry , PRON VERB ADV DET NOUN
adam you are going to fall , NOUN PRON VERB VERB PRT VERB
sleeping in the bed , VERB ADP DET NOUN
i guess it is shadow_gay the horse name again , PRON VERB PRON VERB NOUN DET NOUN NOUN ADV
adam do not put that back there , NOUN VERB ADV VERB PRON ADV ADV
i am helping you cut it , PRON VERB VERB PRON VERB PRON
i do not see one , PRON VERB ADV VERB NUM
that is little robin red breast , PRON VERB ADJ NOUN ADJ NOUN
that is a flute , PRON VERB DET NOUN
take your wrench out , VERB DET NOUN PRT
let us see , VERB PRON VERB
shadow_gay a horse , VERB DET NOUN
close it and try again , ADV PRON CONJ VERB ADV
do not let it spill , VERB ADV VERB PRON VERB
you write on the other side , PRON VERB ADP DET ADJ NOUN
it is for printing , PRON VERB ADP VERB
i do not know , PRON VERB ADV VERB
i do not think so , PRON VERB ADV VERB ADV
because then you would not have any to drink , ADV ADV PRON VERB ADV VERB DET PRT VERB
you leave his pencil in there adam , PRON VERB DET NOUN ADP PRT NOUN
let me show you adam , VERB PRON VERB PRON NOUN
i do not know , PRON VERB ADV VERB
turn it over , VERB PRON PRT
press it down like that , VERB PRON PRT VERB PRON
put it there and then you cut it , VERB PRON ADV CONJ ADV PRON VERB PRON
sit here on the side if you want to , VERB ADV ADP DET NOUN ADP PRON VERB PRT
i do not know the name for it , PRON VERB ADV VERB DET NOUN ADP PRON
now rub it , ADV VERB PRON
do not put your fingers on it , VERB ADV VERB DET NOUN ADP PRON
give me your cup , VERB PRON DET NOUN
there you are , ADV PRON VERB
here is one , ADV VERB NUM
do not put your mouth on the paper , VERB ADV VERB DET NOUN ADP DET NOUN
it fits in the puzzle someplace , PRON VERB ADP DET NOUN NOUN
that is one of the men , PRON VERB NUM ADP DET NOUN
he watches miss jean , PRON VERB NOUN NOUN
that is his hair , PRON VERB DET NOUN
you might hurt your fingers , PRON VERB VERB DET NOUN
press it down , VERB PRON PRT
that is enough , PRON VERB ADV
there are his ears , PRT VERB DET NOUN
here is my mail from this morning , ADV VERB DET NOUN ADP DET NOUN
come on pal , VERB ADP ADJ
you did not kick perro , PRON VERB ADV ADJ NOUN
let us go , VERB PRON VERB
romper bomper stomper boo , X X X X
and two eyes , CONJ NUM NOUN
letters the mailman brought , VERB DET NOUN VERB
i see your back , PRON VERB DET ADV
this is a cucumber honey , DET VERB DET NOUN NOUN
i think perhaps i can find some handkerchiefs , PRON VERB ADV PRON VERB VERB DET NOUN
they are all on the floor there , PRON VERB PRT ADP DET NOUN PRT
and a nose , CONJ DET NOUN
you hit mr cromer with your shoes , PRON VERB NOUN NOUN ADP DET NOUN
i wo not , PRON VERB ADV
give me the button , VERB PRON DET NOUN
that is good , PRON VERB ADJ
those are shoes , DET VERB NOUN
that is a flute , PRON VERB DET NOUN
it wo not come out , PRON VERB ADV VERB PRT
i think that was paul dropping his pacifier in the other room , PRON VERB PRON VERB NOUN VERB DET NOUN ADP DET ADJ NOUN
you are sitting on the cord , PRON VERB VERB ADP DET NOUN
i have some , PRON VERB DET
down by the bed adam , PRT ADP DET NOUN NOUN
that is his tie , PRON VERB DET NOUN
must not write on the book , VERB ADV VERB ADP DET NOUN
your books are over in your basket , DET NOUN VERB PRT ADP DET NOUN
i was just going to pull it out , PRON VERB ADV VERB PRT VERB PRON PRT
you kicked him with your shoe , PRON VERB PRON ADP DET NOUN
do not step on paul blanket , VERB ADV VERB ADP NOUN NOUN
that is the button , PRON VERB DET NOUN
you show me , PRON VERB PRON
and a necktie , CONJ DET NOUN
it is been a long time , PRON VERB VERB DET ADJ NOUN
cecile and catherine , NOUN CONJ NOUN
they are his baby+sitters , PRON VERB DET NOUN
i was just straightening it out , PRON VERB ADV VERB PRON PRT
you want him to kiss your dirty shoes , PRON VERB PRON PRT VERB DET ADJ NOUN
turn it around , VERB PRON ADV
that is mine , PRON VERB PRON
i did not think it was , PRON VERB ADV VERB PRON VERB
you can ask cromer if he will give you some more gas , PRON VERB VERB NOUN ADP PRON VERB VERB PRON DET ADJ NOUN
you are talking about the cowboy , PRON VERB VERB ADP DET NOUN
that is enough adam , PRON VERB ADJ NOUN
that is yours , PRON VERB PRON
it sounded like i do not think it would be simonize , PRON VERB ADP PRON VERB ADV VERB PRON VERB VERB NOUN
here is your pencil over here , ADV VERB DET NOUN PRT ADV
i guess you have_to turn it around , PRON VERB PRON ADV VERB PRON ADV
careful of paul , ADJ ADP NOUN
there is enough room for you to sit there , PRT VERB ADJ NOUN ADP PRON PRT VERB PRT
you come here honey and i will hold it , PRON VERB ADV NOUN CONJ PRON VERB VERB PRON
shame on you , VERB ADP PRON
you did not hang the socks up , PRON VERB ADV VERB DET NOUN PRT
you tell me , PRON VERB PRON
that one does not work that way , DET NOUN VERB ADV VERB DET NOUN
get up there and sit down , VERB PRT ADV CONJ VERB PRT
that one different , ADP NUM ADJ
it is under the chair , PRON VERB ADP DET NOUN
let us do some watches , VERB PRON VERB DET NOUN
you come show her , PRON VERB VERB PRON
let us put the buttons back first , VERB PRON VERB DET NOUN ADV ADJ
that does not belong on the floor , PRON VERB ADV VERB ADP DET NOUN
daddy gil smith talking about roadgrader , NOUN NOUN NOUN VERB ADV ADJ
come and catch him , VERB CONJ VERB PRON
under the chair with your telephone , ADP DET NOUN ADP DET NOUN
do not jump , VERB ADV VERB
so the baby can drink it , ADP DET NOUN VERB VERB PRON
show ursula sandy boots , VERB NOUN NOUN NOUN
you ask her , PRON VERB PRON
there is another pin on the floor there , PRT VERB DET NOUN ADP DET NOUN PRT
i am sorry , PRON VERB ADJ
i do not think that is yellow , PRON VERB ADV VERB PRON VERB ADJ
i do not know , PRON VERB ADV VERB
give it back to ursla , VERB PRON ADV ADP NOUN
ask him if he is finished , VERB PRON ADP PRON VERB VERB
he fell over , PRON VERB PRT
here it is , ADV PRON VERB
you do not hit anybody with it , PRON VERB ADV VERB NOUN ADP PRON
this one is for you , DET NOUN VERB ADP PRON
i did not think it was , PRON VERB ADV VERB PRON VERB
just go around , ADV VERB ADV
this is your watch , DET VERB DET NOUN
do not do that , VERB ADV VERB PRON
careful do not be so rough , ADJ VERB ADV VERB ADV ADJ
you will bend it , PRON VERB VERB PRON
that is ursula , PRON VERB NOUN
look at this , VERB ADP DET
if you want to drink it , ADP PRON VERB PRT VERB PRON
and daddy wo not like it at all , CONJ NOUN ADV ADV ADP PRON ADP PRT
stop kicking me , VERB VERB PRON
you must not drive off until you get your change , PRON VERB ADV VERB PRT ADP PRON VERB DET NOUN
it is not a pocketbook , PRON VERB ADV DET NOUN
do not step on it , VERB ADV VERB ADP PRON
i do not think that is yours , PRON VERB ADV VERB PRON VERB PRON
you rode over one piece , PRON VERB ADP NUM NOUN
this is the toe , DET VERB DET NOUN
i though that was adam tow truck , PRON ADP PRON VERB NOUN NOUN NOUN
just touch that , ADV VERB PRON
here is your paper and your pencil , ADV VERB DET NOUN CONJ DET NOUN
ask me if i am finishes , VERB PRON ADP PRON VERB NOUN
you were playing with it and you spilled it , PRON VERB VERB ADP PRON CONJ PRON VERB PRON
it does all the way through there , PRON VERB PRT DET NOUN ADP PRT
you lost a shoe , PRON VERB DET NOUN
let her finish looking in her pocket book now , VERB PRON VERB VERB ADP DET NOUN NOUN ADV
your washing machine , DET VERB NOUN
the other was something about christmas and adam eats peas , DET ADJ VERB NOUN ADP NOUN CONJ NOUN NOUN NOUN
you did not cook anything , PRON VERB ADV VERB NOUN
adam you can ask cromer if he is finished , NOUN PRON VERB VERB NOUN ADP PRON VERB VERB
i was crossing the street , PRON VERB VERB DET NOUN
make some breakfast , VERB DET NOUN
adam come back , NOUN VERB ADV
because it will disrupt the machine , ADP PRON VERB VERB DET NOUN
ask him if he wants some more , VERB PRON ADP PRON VERB DET ADJ
i was crossing the street , PRON VERB VERB DET NOUN
i think it is behind the door , PRON VERB PRON VERB ADP DET NOUN
he is not a copy cat , PRON VERB ADV DET NOUN NOUN
it is hot , PRON VERB ADJ
that is the way they made him , PRON VERB DET NOUN PRON VERB PRON
a picture of somebody , DET NOUN ADP NOUN
you are a copy cat , PRON VERB DET NOUN NOUN
it wo not come out , PRON VERB ADV VERB PRT
because it will burn you , ADP PRON VERB VERB PRON
do not break the points adam he needs that to write with , VERB ADV VERB DET NOUN NOUN PRON VERB ADP PRT VERB ADP
a book is not a ball , DET NOUN VERB ADV DET NOUN
do not throw the book , VERB ADV VERB DET NOUN
there are so many things in here , PRT VERB ADV ADJ NOUN ADP ADV
you had such a funny expression , PRON VERB PRT DET ADJ NOUN
you will break it , PRON VERB VERB PRON
are not you ashamed , VERB ADV PRON VERB
i thought you said it was in there , PRON VERB PRON VERB PRON VERB ADP PRT
you ask somebody to play with you , PRON VERB NOUN PRT VERB ADP PRON
that is not a star , PRON VERB ADV DET NOUN
you are a funny one adam , PRON VERB DET ADJ NUM NOUN
i think he meant let me play with mr cromer , PRON VERB PRON VERB VERB PRON VERB ADP NOUN NOUN
do not put it on the floor adam , VERB ADV VERB PRON ADP DET NOUN NOUN
you broke another wheel , PRON VERB DET NOUN
hit on the bench , VERB ADP DET NOUN
there it is , ADV PRON VERB
careful it got caught around the chair , ADJ PRON VERB VERB ADP DET NOUN
these are sardines , DET VERB NOUN
that is for a baby doll , PRON VERB ADP DET NOUN NOUN
you are going to fall , PRON VERB VERB PRT VERB
not on the microphone , ADV ADP DET NOUN
on the paper so you can see them , ADP DET NOUN ADP PRON VERB VERB PRON
adam will be home too , NOUN VERB VERB NOUN ADV
do not stand up on the chair honey , VERB ADV VERB PRT ADP DET NOUN NOUN
because you will injure yourself and you will hurt the car , ADP PRON VERB NOUN PRON CONJ PRON VERB VERB DET NOUN
do not break mr cromer pencil , VERB ADV VERB NOUN NOUN NOUN
remember we do not stand up on chairs , VERB PRON VERB ADV VERB PRT ADP NOUN
i do not know , PRON VERB ADV VERB
here it is , ADV PRON VERB
you scoot and get him , PRON VERB CONJ VERB PRON
he wo not be able to write anymore , PRON VERB ADV VERB ADJ PRT VERB ADV
because it does not go if you break it , ADP PRON VERB ADV VERB ADP PRON VERB PRON
let us put them on the paper , VERB PRON VERB PRON ADP DET NOUN
we sit down on chairs , PRON VERB PRT ADP NOUN
i guess he means ride buggy buggy , PRON VERB PRON VERB VERB ADJ NOUN
that was not a dime , PRON VERB ADV DET NOUN
i do not know , PRON VERB ADV VERB
it does not belong there , PRON VERB ADV VERB PRT
i think they have enough air , PRON VERB PRON VERB ADJ NOUN
he went to the mountains for the summer , PRON VERB ADP DET NOUN ADP DET NOUN
this does not cut , DET VERB ADV VERB
that is fresh , PRON VERB ADJ
that was a penny , PRON VERB DET NOUN
do not forget to pay him , VERB ADV VERB PRT VERB PRON
here are some more paper clips , ADV VERB DET ADJ NOUN NOUN
i do enough tricks , PRON VERB ADJ NOUN
it is on the floor , PRON VERB ADP DET NOUN
or part of the barn , CONJ NOUN ADP DET NOUN
maybe it is in this bag adam , ADV PRON VERB ADP DET NOUN NOUN
on the wall , ADP DET NOUN
i guess cliffy looks at bozo at her house , PRON VERB NOUN VERB ADP NOUN ADP DET NOUN
you do not drink cold coffee until summer time , PRON VERB ADV VERB ADJ NOUN ADP NOUN NOUN
turn it over and say the magic words , VERB PRON PRT CONJ VERB DET ADJ NOUN
it is on the floor , PRON VERB ADP DET NOUN
show me the point , VERB PRON DET NOUN
looks like chatter , VERB ADP NOUN
is that mommy change , VERB DET NOUN NOUN
put your finger on the point , VERB DET NOUN ADP DET NOUN
i do not see any propellers on that one , PRON VERB ADV VERB DET NOUN ADP DET NUM
that is not football it is basketball , PRON VERB ADV VERB PRON VERB NOUN
