those are checkers , DET AUX NOUN
you gave it to him , PRON VERB PRON ADP PRON
you might have_to screw this one a little more , PRON AUX PROPN VERB DET NOUN DET ADJ ADV
play with cowboy cigarette , VERB ADP NOUN NOUN
that can not be eaten , DET AUX PART AUX VERB
you have_to be careful or it wo not work properly , PRON PROPN VERB ADJ CCONJ PRON AUX PART VERB ADV
you dropped some under the table , PRON VERB DET ADP DET NOUN
for a ball , ADP DET NOUN
Adam fell down , PROPN VERB ADP
do not be so rough , AUX PART VERB ADV ADJ
Adam let me see , PROPN VERB PRON VERB
it is getting big , PRON AUX VERB ADJ
that is not a ball , DET AUX PART DET NOUN
I think that is enough , PRON VERB DET AUX ADJ
Adam take the pencil out_of your mouth , PROPN VERB DET NOUN PUNCT PRON NOUN
he throws it up in the air , PRON VERB PRON ADP ADP DET NOUN
you hit your shoulder , PRON VERB PRON NOUN
that is good , DET AUX ADJ
on your knees , ADP PRON NOUN
I will hold it while you screw , PRON AUX VERB PRON SCONJ PRON VERB
here it is , ADV PRON AUX
the small letter would fit in your purse , DET ADJ NOUN AUX VERB ADP PRON NOUN
take the hat , VERB DET NOUN
I help to move rocks , PRON VERB PART VERB NOUN
he threw it up so high it did not come down , PRON VERB PRON ADP ADV ADJ PRON AUX PART VERB ADP
I think it is either a moustache or a smokestack , PRON VERB PRON AUX CCONJ DET NOUN CCONJ DET NOUN
we could put this in the box , PRON AUX VERB DET ADP DET NOUN
the song was daisy daisy , DET NOUN AUX ADJ ADJ
you do not have a mosquito bite back there , PRON AUX PART VERB DET ADJ NOUN ADV ADV
you write with a pencil , PRON VERB ADP DET NOUN
you are going to hurt yourself , PRON AUX VERB PART VERB PRON
today is not Thursday , NOUN AUX PART PROPN
I see some pennies that you dropped from your pocket , PRON VERB DET NOUN DET PRON VERB ADP PRON NOUN
that is not a hammer , DET AUX PART DET NOUN
you like yours better , PRON VERB PRON ADV
you do not use that either , PRON AUX PART VERB DET ADV
that is for you , DET AUX ADP PRON
he is too small , PRON AUX ADV ADJ
you can look out_of the window , PRON AUX VERB PROPN DET NOUN
show your Mother and ask her if it is safe , VERB PRON NOUN CCONJ VERB PRON SCONJ PRON VERB ADJ
I do not think so , PRON AUX PART VERB ADV
there you are , ADV PRON AUX
take the pencil out_of your mouth , VERB DET NOUN PUNCT PRON NOUN
I see some pennies on the floor , PRON VERB DET NOUN ADP DET NOUN
playing the piano , VERB DET NOUN
careful of the tape recorder , ADJ ADP DET NOUN NOUN
that is the baby too , DET AUX DET NOUN ADV
I do not think so , PRON AUX PART VERB ADV
do not hit your head on the bicycle , AUX PART VERB PRON NOUN ADP DET NOUN
you play the piano with your fingers , PRON VERB DET NOUN ADP PRON NOUN
there is not milk in here , PRON AUX PART NOUN ADP ADV
come down or else you can not player over there anymore , VERB ADP CCONJ ADV PRON AUX PART VERB ADV ADV ADV
you dropped them , PRON VERB PRON
she has two raisins , PRON VERB NUM NOUN
there is ice in here , PRON AUX NOUN ADP ADV
if you want it to go there , SCONJ PRON VERB PRON PART VERB ADV
I do not believe that , PRON AUX PART VERB SCONJ
food for growing a carrot , NOUN ADP VERB DET NOUN
that is a good idea , DET AUX DET ADJ NOUN
I do not see your shadow , PRON AUX PART VERB PRON NOUN
in the fire , ADP DET NOUN
are you all finished with that , AUX PRON DET VERB ADP DET
look all around , VERB ADV ADV
branding a cow , VERB DET NOUN
you have not even tried it yet , PRON AUX PART ADV VERB PRON ADV
I am not hurt , PRON AUX PART VERB
stop playing with Mr Cromer pen , VERB VERB ADP PROPN PROPN NOUN
you fell down , PRON VERB ADP
it is not really plugged into anything , PRON AUX PART ADV VERB ADP PRON
she can not play on the floor , PRON AUX PART VERB ADP DET NOUN
little boy sleeping , ADJ NOUN VERB
I would like some thank_you , PRON AUX VERB DET PRON
put them on the table , VERB PRON ADP DET NOUN
you can not write , PRON AUX PART VERB
you have_to push it , PRON PROPN VERB PRON
that is not windmill , DET AUX PART ADJ
crackers can not talk , NOUN AUX PART VERB
it is not broken , PRON AUX PART VERB
that is all I had , DET AUX DET PRON VERB
you dropped your pencil , PRON VERB PRON NOUN
I have finished mine , PRON AUX VERB PRON
not cut it off , PART VERB PRON ADP
it is very good , PRON AUX ADV ADJ
open it again , VERB PRON ADV
you eat crackers , PRON VERB NOUN
cut it off on there , VERB PRON ADP ADP ADV
you have some paper , PRON VERB DET NOUN
lives in a house , VERB ADP DET NOUN
take it out_of your mouth Adam , VERB PRON PUNCT PRON NOUN PROPN
turn it over , VERB PRON ADP
do not tear the paper Adam , AUX PART VERB DET NOUN PROPN
there is one on the table , PRON AUX NUM ADP DET NOUN
Adam I have espresso , PROPN PRON VERB NOUN
I will get you , PRON AUX VERB PRON
put your coffee down , VERB PRON NOUN ADP
that is a little cutting edge , DET AUX DET ADJ ADJ NOUN
I am all finished , PRON AUX ADV VERB
poor Perro he was under the pillow , ADJ PROPN PRON AUX ADP DET NOUN
do not know , AUX PART VERB
I think they dropped on the floor , PRON VERB PRON VERB ADP DET NOUN
you said you ate it , PRON VERB PRON VERB PRON
do not get it on the rug Adam , AUX PART VERB PRON ADP DET NOUN PROPN
he does not see you putting any boots on , PRON AUX PART VERB PRON VERB DET NOUN ADP
he has_to get it proper , PRON AUX VERB PRON ADJ
give it to Ursula , VERB PRON ADP PROPN
hold your hand way up , VERB PRON NOUN NOUN ADV
turn it over , VERB PRON ADP
you are not putting any boots on , PRON AUX PART VERB DET NOUN ADP
you can not ride Perro , PRON AUX PART VERB PROPN
let me see the toy , VERB PRON VERB DET NOUN
that is for you , DET AUX ADP PRON
and say the magic words , CCONJ VERB DET ADJ NOUN
it is not a blueberry , PRON AUX PART DET NOUN
Adam you are going to fall , PROPN PRON AUX VERB PART VERB
sleeping in the bed , VERB ADP DET NOUN
I guess it is Shadow_Gay the horse name again , PRON VERB PRON AUX PROPN DET NOUN NOUN ADV
Adam do not put that back there , PROPN AUX PART VERB DET ADV ADV
I am helping you cut it , PRON AUX VERB PRON VERB PRON
I do not see one , PRON AUX PART VERB NUM
that is little Robin Red Breast , DET AUX ADJ PROPN PROPN PROPN
that is a flute , DET AUX DET NOUN
take your wrench out , VERB PRON NOUN ADP
let us see , VERB PRON VERB
Shadow_Gay a horse , VERB DET NOUN
close it and try again , VERB PRON CCONJ VERB ADV
do not let it spill , AUX PART VERB PRON VERB
you write on the other side , PRON VERB ADP DET ADJ NOUN
it is for printing , PRON AUX ADP VERB
I do not know , PRON AUX PART VERB
I do not think so , PRON AUX PART VERB ADV
because then you would not have any to drink , SCONJ ADV PRON AUX PART VERB DET PART VERB
you leave his pencil in there Adam , PRON VERB PRON NOUN ADP ADV PROPN
let me show you Adam , VERB PRON VERB PRON PROPN
I do not know , PRON AUX PART VERB
turn it over , VERB PRON ADP
press it down like that , VERB PRON ADP ADP DET
put it there and then you cut it , VERB PRON ADV CCONJ ADV PRON VERB PRON
sit here on the side if you want to , VERB ADV ADP DET NOUN SCONJ PRON VERB PART
I do not know the name for it , PRON AUX PART VERB DET NOUN ADP PRON
now rub it , ADV VERB PRON
do not put your fingers on it , AUX PART VERB PRON NOUN ADP PRON
give me your cup , VERB PRON PRON NOUN
there you are , ADV PRON AUX
here is one , ADV AUX NUM
do not put your mouth on the paper , AUX PART VERB PRON NOUN ADP DET NOUN
it fits in the puzzle someplace , PRON VERB ADP DET NOUN NOUN
that is one of the men , DET AUX NUM ADP DET NOUN
he watches Miss Jean , PRON VERB PROPN PROPN
that is his hair , DET AUX PRON NOUN
you might hurt your fingers , PRON AUX VERB PRON NOUN
press it down , VERB PRON ADP
that is enough , DET AUX ADJ
there are his ears , PRON AUX PRON NOUN
here is my mail from this morning , ADV AUX PRON NOUN ADP DET NOUN
come on pal , VERB ADP ADJ
you did not kick Perro , PRON AUX PART VERB PROPN
let us go , VERB PRON VERB
romper bomper stomper boo , NOUN NOUN NOUN NOUN
and two eyes , CCONJ NUM NOUN
letters the mailman brought , NOUN DET NOUN VERB
I see your back , PRON VERB PRON NOUN
this is a cucumber honey , DET AUX DET NOUN NOUN
I think perhaps I can find some handkerchiefs , PRON VERB ADV PRON AUX VERB DET NOUN
they are all on the floor there , PRON AUX ADV ADP DET NOUN ADV
and a nose , CCONJ DET NOUN
you hit Mr Cromer with your shoes , PRON VERB PROPN PROPN ADP PRON NOUN
I wo not , PRON AUX PART
give me the button , VERB PRON DET NOUN
that is good , DET AUX ADJ
those are shoes , DET AUX NOUN
that is a flute , DET AUX DET NOUN
it wo not come out , PRON AUX PART VERB ADP
I think that was Paul dropping his pacifier in the other room , PRON VERB DET AUX PROPN VERB PRON NOUN ADP DET ADJ NOUN
you are sitting on the cord , PRON AUX VERB ADP DET NOUN
I have some , PRON VERB DET
down by the bed Adam , ADP ADP DET NOUN PROPN
that is his tie , DET AUX PRON NOUN
must not write on the book , AUX PART VERB ADP DET NOUN
your books are over in your basket , PRON NOUN AUX ADV ADP PRON NOUN
I was just going to pull it out , PRON AUX ADV VERB PART VERB PRON ADP
you kicked him with your shoe , PRON VERB PRON ADP PRON NOUN
do not step on Paul blanket , AUX PART VERB ADP PROPN NOUN
that is the button , DET AUX DET NOUN
you show me , PRON VERB PRON
and a necktie , CCONJ DET NOUN
it is been a long time , PRON AUX VERB DET ADJ NOUN
Cecile and Catherine , ADJ CCONJ PROPN
they are his baby+sitters , PRON AUX PRON NOUN
I was just straightening it out , PRON AUX ADV VERB PRON ADP
you want him to kiss your dirty shoes , PRON VERB PRON PART VERB PRON ADJ NOUN
turn it around , VERB PRON ADV
that is mine , DET AUX ADJ
I did not think it was , PRON AUX PART VERB PRON AUX
you can ask Cromer if he will give you some more gas , PRON AUX VERB PROPN SCONJ PRON AUX VERB PRON DET ADJ NOUN
you are talking about the cowboy , PRON AUX VERB ADP DET NOUN
that is enough Adam , DET AUX ADJ PROPN
that is yours , DET AUX PRON
it sounded like I do not think it would be Simonize , PRON VERB ADP PRON AUX PART VERB PRON AUX VERB PROPN
here is your pencil over here , ADV AUX PRON NOUN ADV ADV
I guess you have_to turn it around , PRON VERB PRON PROPN VERB PRON ADV
careful of Paul , ADJ ADP PROPN
there is enough room for you to sit there , PRON AUX ADJ NOUN ADP PRON PART VERB ADV
you come here honey and I will hold it , PRON VERB ADV NOUN CCONJ PRON AUX VERB PRON
shame on you , NOUN ADP PRON
you did not hang the socks up , PRON AUX PART VERB DET NOUN ADP
you tell me , PRON VERB PRON
that one does not work that way , DET NOUN AUX PART VERB DET NOUN
get up there and sit down , VERB ADV ADV CCONJ VERB ADP
that one different , SCONJ NUM ADJ
it is under the chair , PRON AUX ADP DET NOUN
let us do some watches , VERB PRON VERB DET NOUN
you come show her , PRON VERB VERB PRON
let us put the buttons back first , VERB PRON VERB DET NOUN ADV ADV
that does not belong on the floor , DET AUX PART VERB ADP DET NOUN
Daddy Gil Smith talking about roadgrader , PROPN PROPN PROPN VERB ADP NOUN
come and catch him , VERB CCONJ VERB PRON
under the chair with your telephone , ADP DET NOUN ADP PRON NOUN
do not jump , AUX PART VERB
so the baby can drink it , ADV DET NOUN AUX VERB PRON
show Ursula Sandy boots , VERB PROPN PROPN NOUN
you ask her , PRON VERB PRON
there is another pin on the floor there , PRON AUX DET NOUN ADP DET NOUN ADV
I am sorry , PRON AUX ADJ
I do not think that is yellow , PRON AUX PART VERB DET AUX ADJ
I do not know , PRON AUX PART VERB
give it back to Ursla , VERB PRON ADV ADP PROPN
ask him if he is finished , VERB PRON SCONJ PRON AUX VERB
he fell over , PRON VERB ADP
here it is , ADV PRON AUX
you do not hit anybody with it , PRON AUX PART VERB PRON ADP PRON
this one is for you , DET NOUN AUX ADP PRON
I did not think it was , PRON AUX PART VERB PRON AUX
just go around , ADV VERB ADV
this is your watch , DET AUX PRON NOUN
do not do that , AUX PART VERB DET
careful do not be so rough , ADJ AUX PART VERB ADV ADJ
you will bend it , PRON AUX VERB PRON
that is Ursula , DET AUX PROPN
look at this , VERB ADP DET
if you want to drink it , SCONJ PRON VERB PART VERB PRON
and Daddy wo not like it at all , CCONJ NOUN AUX PART VERB PRON ADV ADV
stop kicking me , VERB VERB PRON
you must not drive off until you get your change , PRON AUX PART VERB ADP ADP PRON VERB PRON NOUN
it is not a pocketbook , PRON AUX PART DET NOUN
do not step on it , AUX PART VERB ADP PRON
I do not think that is yours , PRON AUX PART VERB DET AUX PRON
you rode over one piece , PRON VERB ADP NUM NOUN
this is the toe , DET AUX DET NOUN
I though that was Adam tow truck , PRON SCONJ DET AUX PROPN NOUN NOUN
just touch that , ADV VERB DET
here is your paper and your pencil , ADV AUX PRON NOUN CCONJ PRON NOUN
ask me if I am finishes , VERB PRON SCONJ PRON AUX NOUN
you were playing with it and you spilled it , PRON AUX VERB ADP PRON CCONJ PRON VERB PRON
it does all the way through there , PRON VERB DET DET NOUN ADP ADV
you lost a shoe , PRON VERB DET NOUN
let her finish looking in her pocket book now , VERB PRON VERB VERB ADP PRON NOUN NOUN ADV
your washing machine , PRON NOUN NOUN
the other was something about Christmas and Adam eats peas , DET ADJ AUX PRON ADP PROPN CCONJ PROPN VERB NOUN
you did not cook anything , PRON AUX PART VERB PRON
Adam you can ask Cromer if he is finished , PROPN PRON AUX VERB PROPN SCONJ PRON AUX VERB
I was crossing the street , PRON AUX VERB DET NOUN
make some breakfast , VERB DET NOUN
Adam come back , PROPN VERB ADV
because it will disrupt the machine , SCONJ PRON AUX VERB DET NOUN
ask him if he wants some more , VERB PRON SCONJ PRON VERB DET ADV
I was crossing the street , PRON AUX VERB DET NOUN
I think it is behind the door , PRON VERB PRON AUX ADP DET NOUN
he is not a copy cat , PRON AUX PART DET NOUN NOUN
it is hot , PRON AUX ADJ
that is the way they made him , DET AUX DET NOUN PRON VERB PRON
a picture of somebody , DET NOUN ADP PRON
you are a copy cat , PRON AUX DET NOUN NOUN
it wo not come out , PRON AUX PART VERB ADP
because it will burn you , SCONJ PRON AUX VERB PRON
do not break the points Adam he needs that to write with , AUX PART VERB DET NOUN PROPN PRON VERB DET PART VERB ADP
a book is not a ball , DET NOUN AUX PART DET NOUN
do not throw the book , AUX PART VERB DET NOUN
there are so many things in here , PRON AUX ADV ADJ NOUN ADP ADV
you had such a funny expression , PRON VERB DET DET ADJ NOUN
you will break it , PRON AUX VERB PRON
are not you ashamed , AUX PART PRON ADJ
I thought you said it was in there , PRON VERB PRON VERB PRON AUX ADV ADV
you ask somebody to play with you , PRON VERB PRON PART VERB ADP PRON
that is not a star , DET AUX PART DET NOUN
you are a funny one Adam , PRON AUX DET ADJ NUM PROPN
I think he meant let me play with Mr Cromer , PRON VERB PRON VERB VERB PRON VERB ADP PROPN PROPN
do not put it on the floor Adam , AUX PART VERB PRON ADP DET NOUN PROPN
you broke another wheel , PRON VERB DET NOUN
hit on the bench , VERB ADP DET NOUN
there it is , ADV PRON AUX
careful it got caught around the chair , ADJ PRON AUX VERB ADP DET NOUN
these are sardines , DET AUX NOUN
that is for a baby doll , DET AUX ADP DET NOUN NOUN
you are going to fall , PRON AUX VERB PART VERB
not on the microphone , PART ADP DET NOUN
on the paper so you can see them , ADP DET NOUN SCONJ PRON AUX VERB PRON
Adam will be home too , PROPN AUX VERB ADV ADV
do not stand up on the chair honey , AUX PART VERB ADP ADP DET NOUN NOUN
because you will injure yourself and you will hurt the car , SCONJ PRON AUX VERB PRON CCONJ PRON AUX VERB DET NOUN
do not break Mr Cromer pencil , AUX PART VERB PROPN PROPN NOUN
remember we do not stand up on chairs , VERB PRON AUX PART VERB ADP ADP NOUN
I do not know , PRON AUX PART VERB
here it is , ADV PRON AUX
you scoot and get him , PRON VERB CCONJ VERB PRON
he wo not be able to write anymore , PRON AUX PART VERB ADJ PART VERB ADV
because it does not go if you break it , SCONJ PRON AUX PART VERB SCONJ PRON VERB PRON
let us put them on the paper , VERB PRON VERB PRON ADP DET NOUN
we sit down on chairs , PRON VERB ADP ADP NOUN
I guess he means ride buggy buggy , PRON VERB PRON VERB VERB NOUN NOUN
that was not a dime , DET AUX PART DET NOUN
I do not know , PRON AUX PART VERB
it does not belong there , PRON AUX PART VERB ADV
I think they have enough air , PRON VERB PRON VERB ADJ NOUN
he went to the mountains for the summer , PRON VERB ADP DET NOUN ADP DET NOUN
this does not cut , DET AUX PART VERB
that is fresh , DET AUX ADJ
that was a penny , DET AUX DET NOUN
do not forget to pay him , AUX PART VERB PART VERB PRON
here are some more paper clips , ADV AUX DET ADJ NOUN NOUN
I do enough tricks , PRON VERB ADJ NOUN
it is on the floor , PRON AUX ADP DET NOUN
or part of the barn , CCONJ NOUN ADP DET NOUN
maybe it is in this bag Adam , ADV PRON AUX ADP DET NOUN PROPN
on the wall , ADP DET NOUN
I guess Cliffy looks at Bozo at her house , PRON VERB PROPN VERB ADP PROPN ADP PRON NOUN
you do not drink cold coffee until summer time , PRON AUX PART VERB ADJ NOUN ADP NOUN NOUN
turn it over and say the magic words , VERB PRON ADP CCONJ VERB DET ADJ NOUN
it is on the floor , PRON AUX ADP DET NOUN
show me the point , VERB PRON DET NOUN
looks like Chatter , VERB ADP NOUN
is that Mommy change , AUX SCONJ PROPN NOUN
put your finger on the point , VERB PRON NOUN ADP DET NOUN
I do not see any propellers on that one , PRON AUX PART VERB DET NOUN ADP DET NOUN
